"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/21/2020","AQS","330150014","6","15","ug/m3 SC","14","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/22/2020","AQS","330150014","6","16","ug/m3 SC","15","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/23/2020","AQS","330150014","6","32","ug/m3 SC","30","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/24/2020","AQS","330150014","6","22","ug/m3 SC","20","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/25/2020","AQS","330150014","6","14","ug/m3 SC","13","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/26/2020","AQS","330150014","6","5","ug/m3 SC","5","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/27/2020","AQS","330150014","6","5","ug/m3 SC","5","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/28/2020","AQS","330150014","6","18","ug/m3 SC","17","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/29/2020","AQS","330150014","6","14","ug/m3 SC","13","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/30/2020","AQS","330150014","6","9","ug/m3 SC","8","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/31/2020","AQS","330150014","6","16","ug/m3 SC","15","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/01/2020","AQS","330150014","6","17","ug/m3 SC","16","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/02/2020","AQS","330150014","6","23","ug/m3 SC","21","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/03/2020","AQS","330150014","6","11","ug/m3 SC","10","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/04/2020","AQS","330150014","6","14","ug/m3 SC","13","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/05/2020","AQS","330150014","6","18","ug/m3 SC","17","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/06/2020","AQS","330150014","6","7","ug/m3 SC","6","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/07/2020","AQS","330150014","6","3","ug/m3 SC","3","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/08/2020","AQS","330150014","6","8","ug/m3 SC","7","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/09/2020","AQS","330150014","6","18","ug/m3 SC","17","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/10/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/11/2020","AQS","330150014","6","23","ug/m3 SC","21","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/12/2020","AQS","330150014","6","9","ug/m3 SC","8","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/13/2020","AQS","330150014","6","14","ug/m3 SC","13","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/14/2020","AQS","330150014","6","15","ug/m3 SC","14","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/15/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/16/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/17/2020","AQS","330150014","6","15","ug/m3 SC","14","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/21/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/22/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/23/2020","AQS","330150014","6","23","ug/m3 SC","21","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/24/2020","AQS","330150014","6","28","ug/m3 SC","26","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/25/2020","AQS","330150014","6","31","ug/m3 SC","29","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/26/2020","AQS","330150014","6","22","ug/m3 SC","20","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/27/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"02/28/2020","AQS","330150014","6","7","ug/m3 SC","6","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
