"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/05/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/06/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/07/2020","AQS","250092006","1","0.043","ppm","40","LYNN WATER TREATMENT PLANT","15","88.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/08/2020","AirNow","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","24","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/10/2020","AQS","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/11/2020","AQS","250092006","1","0.039","ppm","36","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/12/2020","AQS","250092006","1","0.038","ppm","35","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/13/2020","AQS","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/14/2020","AQS","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/15/2020","AQS","250092006","1","0.047","ppm","44","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/16/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/17/2020","AQS","250092006","1","0.032","ppm","30","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/18/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/19/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/20/2020","AQS","250092006","1","0.036","ppm","33","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/21/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/22/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/23/2020","AQS","250092006","1","0.039","ppm","36","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/24/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/25/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/26/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/27/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/28/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/29/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/30/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"03/31/2020","AQS","250092006","1","0.043","ppm","40","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/01/2020","AQS","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/02/2020","AQS","250092006","1","0.035","ppm","32","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/03/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/04/2020","AQS","250092006","1","0.036","ppm","33","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/05/2020","AQS","250092006","1","0.034","ppm","31","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/06/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/07/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/08/2020","AQS","250092006","1","0.037","ppm","34","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/09/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/10/2020","AQS","250092006","1","0.037","ppm","34","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/11/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/12/2020","AQS","250092006","1","0.048","ppm","44","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/13/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/14/2020","AQS","250092006","1","0.047","ppm","44","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/15/2020","AQS","250092006","1","0.046","ppm","43","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/16/2020","AQS","250092006","1","0.043","ppm","40","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/17/2020","AQS","250092006","1","0.047","ppm","44","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/18/2020","AQS","250092006","1","0.046","ppm","43","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/19/2020","AQS","250092006","1","0.055","ppm","51","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/20/2020","AQS","250092006","1","0.041","ppm","38","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/21/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/22/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/23/2020","AQS","250092006","1","0.05","ppm","46","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/24/2020","AQS","250092006","1","0.045","ppm","42","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/25/2020","AQS","250092006","1","0.048","ppm","44","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/26/2020","AQS","250092006","1","0.044","ppm","41","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/27/2020","AQS","250092006","1","0.042","ppm","39","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/28/2020","AQS","250092006","1","0.04","ppm","37","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"04/29/2020","AQS","250092006","1","0.037","ppm","34","LYNN WATER TREATMENT PLANT","17","100.0000","44201","Ozone","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
