"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/08/2020","AQS","330150014","1","0.7","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/09/2020","AQS","330150014","1","0.5","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/10/2020","AQS","330150014","1","0.7","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/11/2020","AQS","330150014","1","0.8","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/12/2020","AQS","330150014","1","1.6","ppb","1","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/13/2020","AQS","330150014","1","2.9","ppb","3","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/14/2020","AQS","330150014","1","1.2","ppb","1","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/15/2020","AQS","330150014","1","1.4","ppb","1","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/16/2020","AQS","330150014","1","0.4","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/17/2020","AQS","330150014","1","0.6","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/18/2020","AQS","330150014","1","0.5","ppb","0","PORTSMOUTH - PEIRCE ISLAND","22","92.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/19/2020","AQS","330150014","1","0.6","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/20/2020","AQS","330150014","1","0.9","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/21/2020","AQS","330150014","1","0.9","ppb","0","PORTSMOUTH - PEIRCE ISLAND","19","79.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/22/2020","AQS","330150014","1","2.8","ppb","3","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/23/2020","AQS","330150014","1","0.7","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/24/2020","AQS","330150014","1","0.8","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/25/2020","AQS","330150014","1","0.7","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/26/2020","AQS","330150014","1","0.6","ppb","0","PORTSMOUTH - PEIRCE ISLAND","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"05/27/2020","AQS","330150014","1","0.6","ppb","0","PORTSMOUTH - PEIRCE ISLAND","23","96.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
